"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrderValenceOnElement";"SelectedValence";"RomanValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule_pure";"Name_Classic_Oxyde";"Name_IUPAC_Oxyde";"amount01_oxyde_Stock";"amount02_oxyde_Stock";"Name_Stock_Oxyde";"Name_Stock_Oxyde02"
38;"V";"Vanadium";23;5;4;"Metal";"Transition Metals";"Solid";"2,3,4,5";4;38;4;"5";"V";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V2O5";"Óxido Pervanádico";"Óxido de Vanadio (V)";"Di";"Penta";"DiÓxido de PentaVanadium";"Dióxido de Pentavanadium"
39;"Cr";"Chrome";24;6;4;"Metal";"Transition Metals";"Solid";"2,3,6";3;39;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cr1O1";"Óxido Hipocromoso";"Óxido de Cromo (II)";"Mono";"Mono";"MonÓxido de MonoChrome";"Monóxido de Monochrome"
40;"Cr";"Chrome";24;6;4;"Metal";"Transition Metals";"Solid";"2,3,6";3;40;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cr2O3";"Óxido Cromoso";"Óxido de Cromo (III)";"Di";"Tri";"DiÓxido de TriChrome";"Dióxido de Trichrome"
41;"Cr";"Chrome";24;6;4;"Metal";"Transition Metals";"Solid";"2,3,6";3;41;3;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cr1O3";"Óxido Crómico";"Óxido de Cromo (VI)";"Mono";"Tri";"MonÓxido de TriChrome";"Monóxido de Trichrome"
42;"Mn";"Manganese";25;7;4;"Metal";"Transition Metals";"Solid";"2,3,4,6,7";5;42;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn1O1";"Óxido Hipomanganoso";"Óxido de Manganeso (II)";"Mono";"Mono";"MonÓxido de MonoManganese";"Monóxido de Monomanganese"
43;"Mn";"Manganese";25;7;4;"Metal";"Transition Metals";"Solid";"2,3,4,6,7";5;43;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn2O3";"Óxido Manganoso";"Óxido de Manganeso (III)";"Di";"Tri";"DiÓxido de TriManganese";"Dióxido de Trimanganese"
44;"Mn";"Manganese";25;7;4;"Metal";"Transition Metals";"Solid";"2,3,4,6,7";5;44;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn1O2";"Óxido Mangánico";"Óxido de Manganeso (IV)";"Mono";"Di";"MonÓxido de DiManganese";"Monóxido de Dimanganese"
45;"Mn";"Manganese";25;7;4;"Metal";"Transition Metals";"Solid";"2,3,4,6,7";5;45;4;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn1O3";"Óxido Permangánico";"Óxido de Manganeso (VI)";"Mono";"Tri";"MonÓxido de TriManganese";"Monóxido de Trimanganese"
46;"Mn";"Manganese";25;7;4;"Metal";"Transition Metals";"Solid";"2,3,4,6,7";5;46;5;"7";"VII";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn2O7";"Óxido Supermangánico";"Óxido de Manganeso (VII)";"Di";"Hepta";"DiÓxido de HeptaManganese";"Dióxido de Heptamanganese"
47;"Fe";"Iron";26;8;4;"Metal";"Transition Metals";"Solid";"2,3";2;47;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Fe1O1";"Óxido Ferroso";"Óxido de Hierro (II)";"Mono";"Mono";"MonÓxido de MonoIron";"Monóxido de Monoiron"
48;"Fe";"Iron";26;8;4;"Metal";"Transition Metals";"Solid";"2,3";2;48;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Fe2O3";"Óxido Férrico";"Óxido de Hierro (III)";"Di";"Tri";"DiÓxido de TriIron";"Dióxido de Triiron"
49;"Co";"Cobalt";27;9;4;"Metal";"Transition Metals";"Solid";"2,3";2;49;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Co1O1";"Óxido Cobaltoso";"Óxido de Cobalto (II)";"Mono";"Mono";"MonÓxido de MonoCobalt";"Monóxido de Monocobalt"
50;"Co";"Cobalt";27;9;4;"Metal";"Transition Metals";"Solid";"2,3";2;50;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Co2O3";"Óxido Cobáltico";"Óxido de Cobalto (III)";"Di";"Tri";"DiÓxido de TriCobalt";"Dióxido de Tricobalt"
51;"Ni";"Nickel";28;10;4;"Metal";"Transition Metals";"Solid";"2,3";2;51;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ni1O1";"Óxido Niqueloso";"Óxido de Níquel (II)";"Mono";"Mono";"MonÓxido de MonoNickel";"Monóxido de Mononickel"
52;"Ni";"Nickel";28;10;4;"Metal";"Transition Metals";"Solid";"2,3";2;52;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ni2O3";"Óxido Niquélico";"Óxido de Níquel (III)";"Di";"Tri";"DiÓxido de TriNickel";"Dióxido de Trinickel"
53;"Cu";"Copper";29;11;4;"Metal";"Transition Metals";"Solid";"1,2";2;53;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cu2O1";"Óxido Cuproso";"Óxido de Cobre (I)";"Di";"Mono";"DiÓxido de MonoCopper";"Dióxido de Monocopper"
54;"Cu";"Copper";29;11;4;"Metal";"Transition Metals";"Solid";"1,2";2;54;2;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cu1O1";"Óxido Cúprico";"Óxido de Cobre (II)";"Mono";"Mono";"MonÓxido de MonoCopper";"Monóxido de Monocopper"
55;"Zn";"Zinc";30;12;4;"Metal";"Transition Metals";"Solid";"2";1;55;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Zn1O1";"Óxido de Zinc";"Óxido de Zinc (II)";"Mono";"Mono";"MonÓxido de MonoZinc";"Monóxido de Monozinc"
56;"Ga";"Gallium";31;13;4;"Metal";"Metals from Block p";"Liquid";"3";1;56;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"Ga2O3";"Óxido de Galio";"Óxido de Galio (III)";"Di";"Tri";"DiÓxido de TriGallium";"Dióxido de Trigallium"
57;"Ge";"Germanium";32;14;4;"Metalloid";"-";"Solid";"4";1;57;1;"4";"IV";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ge1O2";"Óxido de Germanio";"Óxido de Germanio (IV)";"Mono";"Di";"MonÓxido de DiGermanium";"Monóxido de Digermanium"
58;"As";"Arsenic";33;15;4;"Metalloid";"-";"Solid";"3,5";2;58;1;"3";"III";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"As2O3";"Óxido Arsenoso";"Óxido de Arsénico (III)";"Di";"Tri";"DiÓxido de TriArsenic";"Dióxido de Triarsenic"
59;"As";"Arsenic";33;15;4;"Metalloid";"-";"Solid";"3,5";2;59;2;"5";"V";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"As2O5";"Óxido Arsénico";"Óxido de Arsénico (V)";"Di";"Penta";"DiÓxido de PentArsenic";"Dióxido de Pentarsenic"
60;"Se";"Selenium";34;16;4;"Non-metal";"Other Non-Metals";"Solid";"4,6";2;60;1;"4";"IV";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Se1O2";"Óxido Selenoso";"Óxido de Selenio (IV)";"Mono";"Di";"MonÓxido de DiSelenium";"Monóxido de Diselenium"
61;"Se";"Selenium";34;16;4;"Non-metal";"Other Non-Metals";"Solid";"4,6";2;61;2;"6";"VI";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Se1O3";"Óxido Selénico";"Óxido de Selenio (VI)";"Mono";"Tri";"MonÓxido de TriSelenium";"Monóxido de Triselenium"
62;"Br";"Bromine";35;17;4;"Non-metal";"Halogens";"Liquid";"1,5";2;62;1;"1";"I";FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;"Br2O1";"Óxido Brosomo";"Óxido de Bromo (I)";"Di";"Mono";"DiÓxido de MonoBromine";"Dióxido de Monobromine"
63;"Br";"Bromine";35;17;4;"Non-metal";"Halogens";"Liquid";"1,5";2;63;2;"5";"V";FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;"Br2O5";"Óxido Brómico";"Óxido de Bromo (V)";"Di";"Penta";"DiÓxido de PentaBromine";"Dióxido de Pentabromine"
64;"Kr";"Krypton";36;18;4;"Noble gas";"-";"Gas";"0";1;64;1;"0";"";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----";"----";"----";"----";"----";"----";"----"
65;"Rb";"Rubidium";37;1;5;"Metal";"Alkaline";"Solid";"1";1;65;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Rb2O1";"Óxido de Rubidio";"Óxido de Rubidio (I)";"Di";"Mono";"DiÓxido de MonoRubidium";"Dióxido de Monorubidium"
66;"Sr";"Strontium";38;2;5;"Metal";"Alkaline earths";"Solid";"2";1;66;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sr1O1";"Óxido de Estroncio";"Óxido de Estroncio (II)";"Mono";"Mono";"MonÓxido de MonoStrontium";"Monóxido de Monostrontium"
67;"Y";"Yttrium";39;3;5;"Metal";"Transition Metals";"Solid";"3";1;67;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Y2O3";"Óxido de Yodo";"Óxido de Yodo (III)";"Di";"Tri";"DiÓxido de TriYttrium";"Dióxido de Triyttrium"
68;"Zr";"Zirconium";40;4;5;"Metal";"Transition Metals";"Solid";"4";1;68;1;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Zr1O2";"Óxido de Circonio";"Óxido de Circonio (IV)";"Mono";"Di";"MonÓxido de DiZirconium";"Monóxido de Dizirconium"
69;"Nb";"Niobium";41;5;5;"Metal";"Transition Metals";"Solid";"3,5";2;69;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Nb2O3";"Óxido Nioboso";"Óxido de Niobio (III)";"Di";"Tri";"DiÓxido de TriNiobium";"Dióxido de Triniobium"
70;"Nb";"Niobium";41;5;5;"Metal";"Transition Metals";"Solid";"3,5";2;70;2;"5";"V";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Nb2O5";"Óxido Niúbico";"Óxido de Niobio (V)";"Di";"Penta";"DiÓxido de PentaNiobium";"Dióxido de Pentaniobium"
71;"Mo";"Molybdenum";42;6;5;"Metal";"Transition Metals";"Solid";"2,3,4,5,6";5;71;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo1O1";"Óxido Hipomolibdoso";"Óxido de Molibdeno (II)";"Mono";"Mono";"MonÓxido de MonoMolybdenum";"Monóxido de Monomolybdenum"
72;"Mo";"Molybdenum";42;6;5;"Metal";"Transition Metals";"Solid";"2,3,4,5,6";5;72;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo2O3";"Óxido Molibdoso";"Óxido de Molibdeno (III)";"Di";"Tri";"DiÓxido de TriMolybdenum";"Dióxido de Trimolybdenum"
