"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrderValenceOnElement";"SelectedValence";"RomanValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule_pure";"Name_Classic_Oxyde";"Name_IUPAC_Oxyde";"amount01_oxyde_Stock";"amount02_oxyde_Stock";"Name_Stock_Oxyde";"Name_Stock_Oxyde02"
165;"Fr";"Francisco";87;1;7;"Metal";"Alcalino";"L韖uido";"1";1;165;1;"1";"I";TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"Fr2O1";"脫xido de Francisco";"脫xido de Francisco (I)";"Di";"Mono";"Di脫xido de MonoFrancisco";"Di贸xido de Monofrancisco"
166;"Ra";"Radio";88;2;7;"Metal";"Tierras alcalinas";"S髄ido";"2";1;166;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ra1O1";"脫xido de Radio";"脫xido de Radio (II)";"Mono";"Mono";"Mon脫xido de MonoRadio";"Mon贸xido de Monoradio"
167;"Ac";"Actinio";89;3;7;"Metal";"Act韓idos";"S髄ido";"3";1;167;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ac2O3";"脫xido de Actinio";"脫xido de Actinio (III)";"Di";"Tri";"Di脫xido de TriActinio";"Di贸xido de Triactinio"
168;"Th";"Torio";90;3;7;"Metal";"Act韓idos";"S髄ido";"4";1;168;1;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Th1O2";"脫xido de Torio";"脫xido de Torio (IV)";"Mono";"Di";"Mon脫xido de DiTorio";"Mon贸xido de Ditorio"
169;"Pa";"Protactinio";91;3;7;"Metal";"Act韓idos";"S髄ido";"4,5";2;169;1;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pa1O2";"脫xido Protactinoso";"脫xido de Protactinio (IV)";"Mono";"Di";"Mon脫xido de DiProtactinio";"Mon贸xido de Diprotactinio"
170;"Pa";"Protactinio";91;3;7;"Metal";"Act韓idos";"S髄ido";"4,5";2;170;2;"5";"V";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pa2O5";"脫xido Protact铆nico";"脫xido de Protactinio (V)";"Di";"Penta";"Di脫xido de PentaProtactinio";"Di贸xido de Pentaprotactinio"
171;"U";"Uranio";92;3;7;"Metal";"Act韓idos";"S髄ido";"3,4,5,6";4;171;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"U2O3";"脫xido Hipouranoso";"脫xido de Uranio (III)";"Di";"Tri";"Di脫xido de TriUranio";"Di贸xido de Triuranio"
172;"U";"Uranio";92;3;7;"Metal";"Act韓idos";"S髄ido";"3,4,5,6";4;172;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"U1O2";"脫xido Uranoso";"脫xido de Uranio (IV)";"Mono";"Di";"Mon脫xido de DiUranio";"Mon贸xido de Diuranio"
173;"U";"Uranio";92;3;7;"Metal";"Act韓idos";"S髄ido";"3,4,5,6";4;173;3;"5";"V";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"U2O5";"脫xido Ur谩nico";"脫xido de Uranio (V)";"Di";"Penta";"Di脫xido de PentaUranio";"Di贸xido de Pentauranio"
174;"U";"Uranio";92;3;7;"Metal";"Act韓idos";"S髄ido";"3,4,5,6";4;174;4;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"U1O3";"脫xido Perur谩nico";"脫xido de Uranio (VI)";"Mono";"Tri";"Mon脫xido de TriUranio";"Mon贸xido de Triuranio"
175;"Np";"Neptunio";93;3;7;"Metal";"Act韓idos";"???";"3,4,5,6";4;175;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Np2O3";"脫xido Hiponeptunoso";"脫xido de Neptunio (III)";"Di";"Tri";"Di脫xido de TriNeptunio";"Di贸xido de Trineptunio"
176;"Np";"Neptunio";93;3;7;"Metal";"Act韓idos";"???";"3,4,5,6";4;176;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Np1O2";"脫xido Neptunoso";"脫xido de Neptunio (IV)";"Mono";"Di";"Mon脫xido de DiNeptunio";"Mon贸xido de Dineptunio"
177;"Np";"Neptunio";93;3;7;"Metal";"Act韓idos";"???";"3,4,5,6";4;177;3;"5";"V";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Np2O5";"脫xido Nept煤nico";"脫xido de Neptunio (V)";"Di";"Penta";"Di脫xido de PentaNeptunio";"Di贸xido de Pentaneptunio"
178;"Np";"Neptunio";93;3;7;"Metal";"Act韓idos";"???";"3,4,5,6";4;178;4;"6";"VI";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Np1O3";"脫xido Pernept煤nico";"脫xido de Neptunio (VI)";"Mono";"Tri";"Mon脫xido de TriNeptunio";"Mon贸xido de Trineptunio"
179;"Pu";"Plutonio";94;3;7;"Metal";"Act韓idos";"???";"3,4,5,6";4;179;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Pu2O3";"脫xido Hipoplutonoso";"脫xido de Plutonio (III)";"Di";"Tri";"Di脫xido de TriPlutonio";"Di贸xido de Triplutonio"
180;"Pu";"Plutonio";94;3;7;"Metal";"Act韓idos";"???";"3,4,5,6";4;180;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Pu1O2";"脫xido Plutonoso";"脫xido de Plutonio (IV)";"Mono";"Di";"Mon脫xido de DiPlutonio";"Mon贸xido de Diplutonio"
181;"Pu";"Plutonio";94;3;7;"Metal";"Act韓idos";"???";"3,4,5,6";4;181;3;"5";"V";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Pu2O5";"脫xido Plut贸nico";"脫xido de Plutonio (V)";"Di";"Penta";"Di脫xido de PentaPlutonio";"Di贸xido de Pentaplutonio"
182;"Pu";"Plutonio";94;3;7;"Metal";"Act韓idos";"???";"3,4,5,6";4;182;4;"6";"VI";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Pu1O3";"脫xido Perplut贸nico";"脫xido de Plutonio (VI)";"Mono";"Tri";"Mon脫xido de TriPlutonio";"Mon贸xido de Triplutonio"
183;"Am";"Americio";95;3;7;"Metal";"Act韓idos";"???";"3,4,5,6";4;183;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Am2O3";"脫xido Hipoamericoso";"脫xido de Americio (III)";"Di";"Tri";"Di脫xido de TriAmericio";"Di贸xido de Triamericio"
184;"Am";"Americio";95;3;7;"Metal";"Act韓idos";"???";"3,4,5,6";4;184;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Am1O2";"脫xido Americoso";"脫xido de Americio (IV)";"Mono";"Di";"Mon脫xido de DiAmericio";"Mon贸xido de Diamericio"
185;"Am";"Americio";95;3;7;"Metal";"Act韓idos";"???";"3,4,5,6";4;185;3;"5";"V";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Am2O5";"脫xido Am茅rico";"脫xido de Americio (V)";"Di";"Penta";"Di脫xido de PentAmericio";"Di贸xido de Pentamericio"
186;"Am";"Americio";95;3;7;"Metal";"Act韓idos";"???";"3,4,5,6";4;186;4;"6";"VI";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Am1O3";"脫xido Peram茅rico";"脫xido de Americio (VI)";"Mono";"Tri";"Mon脫xido de TriAmericio";"Mon贸xido de Triamericio"
187;"Cm";"Curio";96;3;7;"Metal";"Act韓idos";"???";"3";1;187;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Cm2O3";"脫xido de Curio";"脫xido de Curio (III)";"Di";"Tri";"Di脫xido de TriCurio";"Di贸xido de Tricurio"
188;"Bk";"Berkelio";97;3;7;"Metal";"Act韓idos";"???";"3,4";2;188;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Bk2O3";"脫xido Berkeloso";"脫xido de Berkelio (III)";"Di";"Tri";"Di脫xido de TriBerkelio";"Di贸xido de Triberkelio"
189;"Bk";"Berkelio";97;3;7;"Metal";"Act韓idos";"???";"3,4";2;189;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Bk1O2";"脫xido Berk茅lico";"脫xido de Berkelio (IV)";"Mono";"Di";"Mon脫xido de DiBerkelio";"Mon贸xido de Diberkelio"
190;"Cf";"Californio";98;3;7;"Metal";"Act韓idos";"???";"3";1;190;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Cf2O3";"脫xido de Californio";"脫xido de Californio (III)";"Di";"Tri";"Di脫xido de TriCalifornio";"Di贸xido de Tricalifornio"
191;"Es";"Einstenio";99;3;7;"Metal";"Act韓idos";"???";"4";1;191;1;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Es1O2";"脫xido de Einstenio";"脫xido de Einstenio (IV)";"Mono";"Di";"Mon脫xido de DiEinstenio";"Mon贸xido de Dieinstenio"
192;"Fm";"Fermio";100;3;7;"Metal";"Act韓idos";"???";"4";1;192;1;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Fm1O2";"脫xido de Fermio";"脫xido de Fermio (IV)";"Mono";"Di";"Mon脫xido de DiFermio";"Mon贸xido de Difermio"
193;"Md";"Mendelevio";101;3;7;"Metal";"Act韓idos";"???";"3,4";2;193;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Md2O3";"脫xido Mendelevoso";"脫xido de Mendelevio (III)";"Di";"Tri";"Di脫xido de TriMendelevio";"Di贸xido de Trimendelevio"
194;"Md";"Mendelevio";101;3;7;"Metal";"Act韓idos";"???";"3,4";2;194;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Md1O2";"脫xido Mendel茅vico";"脫xido de Mendelevio (IV)";"Mono";"Di";"Mon脫xido de DiMendelevio";"Mon贸xido de Dimendelevio"
195;"No";"Nobel";102;3;7;"Metal";"Act韓idos";"???";"3,4";2;195;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"No2O3";"脫xido Nobeloso";"脫xido de Nobel (III)";"Di";"Tri";"Di脫xido de TriNobel";"Di贸xido de Trinobel"
196;"No";"Nobel";102;3;7;"Metal";"Act韓idos";"???";"3,4";2;196;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"No1O2";"脫xido Nob茅lico";"脫xido de Nobel (IV)";"Mono";"Di";"Mon脫xido de DiNobel";"Mon贸xido de Dinobel"
197;"Lr";"Laurencio";103;3;7;"Metal";"Act韓idos";"???";"3,4";2;197;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Lr2O3";"脫xido Lauroso";"脫xido de Laurencio (III)";"Di";"Tri";"Di脫xido de TriLaurencio";"Di贸xido de Trilaurencio"
198;"Lr";"Laurencio";103;3;7;"Metal";"Act韓idos";"???";"3,4";2;198;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Lr1O2";"脫xido L谩urico";"脫xido de Laurencio (IV)";"Mono";"Di";"Mon脫xido de DiLaurencio";"Mon贸xido de Dilaurencio"
199;"Rf";"Rutherfordio";104;3;7;"Metal";"Act韓idos";"???";"4";1;199;1;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Rf1O2";"脫xido de Rutherfordio";"脫xido de Rutherfordio (IV)";"Mono";"Di";"Mon脫xido de DiRutherfordio";"Mon贸xido de Dirutherfordio"
200;"Db";"Dubnio";105;3;7;"Metal";"Act韓idos";"???";"4";1;200;1;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Db1O2";"脫xido de Dubnio";"脫xido de Dubnio (IV)";"Mono";"Di";"Mon脫xido de DiDubnio";"Mon贸xido de Didubnio"
201;"Sg";"Seaborgio";106;3;7;"Metal";"Act韓idos";"???";"4";1;201;1;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Sg1O2";"脫xido de Seaborgio";"脫xido de Seaborgio (IV)";"Mono";"Di";"Mon脫xido de DiSeaborgio";"Mon贸xido de Diseaborgio"
202;"Bh";"Bohrio";107;3;7;"Metal";"Act韓idos";"???";"3,4,5";3;202;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Bh2O3";"脫xido Hipobohroso";"脫xido de Bohrio (III)";"Di";"Tri";"Di脫xido de TriBohrio";"Di贸xido de Tribohrio"
203;"Bh";"Bohrio";107;3;7;"Metal";"Act韓idos";"???";"3,4,5";3;203;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Bh1O2";"脫xido Bohroso";"脫xido de Bohrio (IV)";"Mono";"Di";"Mon脫xido de DiBohrio";"Mon贸xido de Dibohrio"
204;"Bh";"Bohrio";107;3;7;"Metal";"Act韓idos";"???";"3,4,5";3;204;3;"5";"V";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Bh2O5";"脫xido Bohrioico";"脫xido de Bohrio (V)";"Di";"Penta";"Di脫xido de PentaBohrio";"Di贸xido de Pentabohrio"
205;"Hs";"Hassio";108;3;7;"Metal";"Act韓idos";"???";"2,4,6,7";4;205;1;"2";"II";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Hs1O1";"脫xido Hipohassoso";"脫xido de Hassio (II)";"Mono";"Mono";"Mon脫xido de MonoHassio";"Mon贸xido de Monohassio"
206;"Hs";"Hassio";108;3;7;"Metal";"Act韓idos";"???";"2,4,6,7";4;206;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Hs1O2";"脫xido Hassoso";"脫xido de Hassio (IV)";"Mono";"Di";"Mon脫xido de DiHassio";"Mon贸xido de Dihassio"
207;"Hs";"Hassio";108;3;7;"Metal";"Act韓idos";"???";"2,4,6,7";4;207;3;"6";"VI";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Hs1O3";"脫xido Hassico";"脫xido de Hassio (VI)";"Mono";"Tri";"Mon脫xido de TriHassio";"Mon贸xido de Trihassio"
208;"Hs";"Hassio";108;3;7;"Metal";"Act韓idos";"???";"2,4,6,7";4;208;4;"7";"VII";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Hs2O7";"脫xido Perhassico";"脫xido de Hassio (VII)";"Di";"Hepta";"Di脫xido de HeptaHassio";"Di贸xido de Heptahassio"
209;"Mt";"Meitnerio";109;3;7;"Metal";"Act韓idos";"???";"2,3,4,6";4;209;1;"2";"II";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Mt1O1";"脫xido Hipomeitneroso";"脫xido de Meitnerio (II)";"Mono";"Mono";"Mon脫xido de MonoMeitnerio";"Mon贸xido de Monomeitnerio"
210;"Mt";"Meitnerio";109;3;7;"Metal";"Act韓idos";"???";"2,3,4,6";4;210;2;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Mt2O3";"脫xido Meitneroso";"脫xido de Meitnerio (III)";"Di";"Tri";"Di脫xido de TriMeitnerio";"Di贸xido de Trimeitnerio"
211;"Mt";"Meitnerio";109;3;7;"Metal";"Act韓idos";"???";"2,3,4,6";4;211;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Mt1O2";"脫xido Meitn茅rico";"脫xido de Meitnerio (IV)";"Mono";"Di";"Mon脫xido de DiMeitnerio";"Mon贸xido de Dimeitnerio"
212;"Mt";"Meitnerio";109;3;7;"Metal";"Act韓idos";"???";"2,3,4,6";4;212;4;"6";"VI";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Mt1O3";"脫xido Permeitn茅rico";"脫xido de Meitnerio (VI)";"Mono";"Tri";"Mon脫xido de TriMeitnerio";"Mon贸xido de Trimeitnerio"
213;"Ds";"Darmstadtio";110;3;7;"Metal";"Act韓idos";"???";"2,4";2;213;1;"2";"II";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Ds1O1";"脫xido Darmstadtoso";"脫xido de Darmstadtio (II)";"Mono";"Mono";"Mon脫xido de MonoDarmstadtio";"Mon贸xido de Monodarmstadtio"
214;"Ds";"Darmstadtio";110;3;7;"Metal";"Act韓idos";"???";"2,4";2;214;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Ds1O2";"脫xido Darmstadtico";"脫xido de Darmstadtio (IV)";"Mono";"Di";"Mon脫xido de DiDarmstadtio";"Mon贸xido de Didarmstadtio"
215;"Rg";"Roentgenio";111;3;7;"Metal";"Act韓idos";"???";"2,3";2;215;1;"2";"II";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Rg1O1";"脫xido Roentgenoso";"脫xido de Roentgenio (II)";"Mono";"Mono";"Mon脫xido de MonoRoentgenio";"Mon贸xido de Monoroentgenio"
216;"Rg";"Roentgenio";111;3;7;"Metal";"Act韓idos";"???";"2,3";2;216;2;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Rg2O3";"脫xido Roentg茅nico";"脫xido de Roentgenio (III)";"Di";"Tri";"Di脫xido de TriRoentgenio";"Di贸xido de Triroentgenio"
217;"Cn";"Cop閞nico";112;3;7;"Metal";"Act韓idos";"???";"1,2";2;217;1;"1";"I";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Cn2O1";"脫xido Copernicoso";"脫xido de Cop茅rnico (I)";"Di";"Mono";"Di脫xido de MonoCop锟絩nico";"Di贸xido de Monocop锟絉nico"
218;"Cn";"Cop閞nico";112;3;7;"Metal";"Act韓idos";"???";"1,2";2;218;2;"2";"II";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Cn1O1";"脫xido Cop茅rnico";"脫xido de Cop茅rnico (II)";"Mono";"Mono";"Mon脫xido de MonoCop锟絩nico";"Mon贸xido de Monocop锟絉nico"
219;"Nh";"Nihonio";113;3;7;"Metal";"Act韓idos";"???";"3";1;219;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Nh2O3";"脫xido de Nihonio";"脫xido de Nihonio (III)";"Di";"Tri";"Di脫xido de TriNihonio";"Di贸xido de Trinihonio"
220;"Fl";"Flerovio";114;3;7;"Metal";"Act韓idos";"???";"2,4,6";3;220;1;"2";"II";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Fl1O1";"脫xido Hipoflerovoso";"脫xido de Flerovio (II)";"Mono";"Mono";"Mon脫xido de MonoFlerovio";"Mon贸xido de Monoflerovio"
221;"Fl";"Flerovio";114;3;7;"Metal";"Act韓idos";"???";"2,4,6";3;221;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Fl1O2";"脫xido Flerovoso";"脫xido de Flerovio (IV)";"Mono";"Di";"Mon脫xido de DiFlerovio";"Mon贸xido de Diflerovio"
222;"Fl";"Flerovio";114;3;7;"Metal";"Act韓idos";"???";"2,4,6";3;222;3;"6";"VI";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Fl1O3";"脫xido Fler贸vico";"脫xido de Flerovio (VI)";"Mono";"Tri";"Mon脫xido de TriFlerovio";"Mon贸xido de Triflerovio"
223;"Mc";"Moscovio";115;3;7;"Metal";"Act韓idos";"???";"1,4,5";3;223;1;"1";"I";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Mc2O1";"脫xido Hipomoscovioso";"脫xido de Moscovio (I)";"Di";"Mono";"Di脫xido de MonoMoscovio";"Di贸xido de Monomoscovio"
224;"Mc";"Moscovio";115;3;7;"Metal";"Act韓idos";"???";"1,4,5";3;224;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Mc1O2";"脫xido Moscovioso";"脫xido de Moscovio (IV)";"Mono";"Di";"Mon脫xido de DiMoscovio";"Mon贸xido de Dimoscovio"
225;"Mc";"Moscovio";115;3;7;"Metal";"Act韓idos";"???";"1,4,5";3;225;3;"5";"V";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Mc2O5";"脫xido Mosc贸vico";"脫xido de Moscovio (V)";"Di";"Penta";"Di脫xido de PentaMoscovio";"Di贸xido de Pentamoscovio"
226;"Lv";"Livermorio";116;3;7;"Metal";"Act韓idos";"???";"3,4,5";3;226;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Lv2O3";"脫xido Hipolivermoroso";"脫xido de Livermorio (III)";"Di";"Tri";"Di脫xido de TriLivermorio";"Di贸xido de Trilivermorio"
227;"Lv";"Livermorio";116;3;7;"Metal";"Act韓idos";"???";"3,4,5";3;227;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Lv1O2";"脫xido Livermoroso";"脫xido de Livermorio (IV)";"Mono";"Di";"Mon脫xido de DiLivermorio";"Mon贸xido de Dilivermorio"
228;"Lv";"Livermorio";116;3;7;"Metal";"Act韓idos";"???";"3,4,5";3;228;3;"5";"V";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Lv2O5";"脫xido Liverm贸rico";"脫xido de Livermorio (V)";"Di";"Penta";"Di脫xido de PentaLivermorio";"Di贸xido de Pentalivermorio"
229;"Ts";"Tenesino";117;3;7;"Metal";"Act韓idos";"???";"1,2,3";3;229;1;"1";"I";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Ts2O1";"脫xido Hipotenesoso";"脫xido de Tenesino (I)";"Di";"Mono";"Di脫xido de MonoTenesino";"Di贸xido de Monotenesino"
230;"Ts";"Tenesino";117;3;7;"Metal";"Act韓idos";"???";"1,2,3";3;230;2;"2";"II";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Ts1O1";"脫xido Tenesoso";"脫xido de Tenesino (II)";"Mono";"Mono";"Mon脫xido de MonoTenesino";"Mon贸xido de Monotenesino"
231;"Ts";"Tenesino";117;3;7;"Metal";"Act韓idos";"???";"1,2,3";3;231;3;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Ts2O3";"脫xido Ten茅sico";"脫xido de Tenesino (III)";"Di";"Tri";"Di脫xido de TriTenesino";"Di贸xido de Tritenesino"
232;"Og";"Oganes髇";118;3;7;"Gas Noble";"-";"Gas";"0";1;232;1;"0";"";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----";"";"----";"----";"----";"----";"----"
