"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrderValenceOnElement";"SelectedValence";"RomanValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule_pure";"Name_Classic_Oxyde";"Name_IUPAC_Oxyde";"amount01_oxyde_Stock";"amount02_oxyde_Stock";"Name_Stock_Oxyde";"Name_Stock_Oxyde02"
51;"Ni";"N韖uel";28;10;4;"Metal";"Metales de transici髇";"S髄ido";"2,3";2;51;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ni1O1";"脫xido Niqueloso";"脫xido de N铆quel (II)";"Mono";"Mono";"Mon脫xido de MonoN锟絨uel";"Mon贸xido de Monon锟絈uel"
52;"Ni";"N韖uel";28;10;4;"Metal";"Metales de transici髇";"S髄ido";"2,3";2;52;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ni2O3";"脫xido Niqu茅lico";"脫xido de N铆quel (III)";"Di";"Tri";"Di脫xido de TriN锟絨uel";"Di贸xido de Trin锟絈uel"
53;"Cu";"Cobre";29;11;4;"Metal";"Metales de transici髇";"S髄ido";"1,2";2;53;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cu2O1";"脫xido Cuproso";"脫xido de Cobre (I)";"Di";"Mono";"Di脫xido de MonoCobre";"Di贸xido de Monocobre"
54;"Cu";"Cobre";29;11;4;"Metal";"Metales de transici髇";"S髄ido";"1,2";2;54;2;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cu1O1";"脫xido C煤prico";"脫xido de Cobre (II)";"Mono";"Mono";"Mon脫xido de MonoCobre";"Mon贸xido de Monocobre"
55;"Zn";"Zinc";30;12;4;"Metal";"Metales de transici髇";"S髄ido";"2";1;55;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Zn1O1";"脫xido de Zinc";"脫xido de Zinc (II)";"Mono";"Mono";"Mon脫xido de MonoZinc";"Mon贸xido de Monozinc"
56;"Ga";"Galio";31;13;4;"Metal";"Metales del Bloque p";"L韖uido";"3";1;56;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"Ga2O3";"脫xido de Galio";"脫xido de Galio (III)";"Di";"Tri";"Di脫xido de TriGalio";"Di贸xido de Trigalio"
57;"Ge";"Germanio";32;14;4;"Metaloide";"-";"S髄ido";"4";1;57;1;"4";"IV";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ge1O2";"脫xido de Germanio";"脫xido de Germanio (IV)";"Mono";"Di";"Mon脫xido de DiGermanio";"Mon贸xido de Digermanio"
58;"As";"Ars閚ico";33;15;4;"Metaloide";"-";"S髄ido";"3,5";2;58;1;"3";"III";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"As2O3";"脫xido Arsenoso";"脫xido de Ars茅nico (III)";"Di";"Tri";"Di脫xido de TriArs锟絥ico";"Di贸xido de Triars锟絅ico"
59;"As";"Ars閚ico";33;15;4;"Metaloide";"-";"S髄ido";"3,5";2;59;2;"5";"V";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"As2O5";"脫xido Ars茅nico";"脫xido de Ars茅nico (V)";"Di";"Penta";"Di脫xido de PentArs锟絥ico";"Di贸xido de Pentars锟絅ico"
60;"Se";"Selenio";34;16;4;"No Metal";"Otros no metales";"S髄ido";"4,6";2;60;1;"4";"IV";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Se1O2";"脫xido Selenoso";"脫xido de Selenio (IV)";"Mono";"Di";"Mon脫xido de DiSelenio";"Mon贸xido de Diselenio"
61;"Se";"Selenio";34;16;4;"No Metal";"Otros no metales";"S髄ido";"4,6";2;61;2;"6";"VI";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Se1O3";"脫xido Sel茅nico";"脫xido de Selenio (VI)";"Mono";"Tri";"Mon脫xido de TriSelenio";"Mon贸xido de Triselenio"
62;"Br";"Bromo";35;17;4;"No Metal";"Hal骻enos";"L韖uido";"1,5";2;62;1;"1";"I";FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;"Br2O1";"脫xido Brosomo";"脫xido de Bromo (I)";"Di";"Mono";"Di脫xido de MonoBromo";"Di贸xido de Monobromo"
63;"Br";"Bromo";35;17;4;"No Metal";"Hal骻enos";"L韖uido";"1,5";2;63;2;"5";"V";FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;"Br2O5";"脫xido Br贸mico";"脫xido de Bromo (V)";"Di";"Penta";"Di脫xido de PentaBromo";"Di贸xido de Pentabromo"
64;"Kr";"Cript髇";36;18;4;"Gas Noble";"-";"Gas";"0";1;64;1;"0";"";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----";"----";"----";"----";"----";"----";"----"
65;"Rb";"Rubidio";37;1;5;"Metal";"Alcalino";"S髄ido";"1";1;65;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Rb2O1";"脫xido de Rubidio";"脫xido de Rubidio (I)";"Di";"Mono";"Di脫xido de MonoRubidio";"Di贸xido de Monorubidio"
66;"Sr";"Estroncio";38;2;5;"Metal";"Tierras alcalinas";"S髄ido";"2";1;66;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sr1O1";"脫xido de Estroncio";"脫xido de Estroncio (II)";"Mono";"Mono";"Mon脫xido de MonoEstroncio";"Mon贸xido de Monoestroncio"
67;"Y";"Yodo";39;3;5;"Metal";"Metales de transici髇";"S髄ido";"3";1;67;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Y2O3";"脫xido de Yodo";"脫xido de Yodo (III)";"Di";"Tri";"Di脫xido de TriYodo";"Di贸xido de Triyodo"
68;"Zr";"Circonio";40;4;5;"Metal";"Metales de transici髇";"S髄ido";"4";1;68;1;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Zr1O2";"脫xido de Circonio";"脫xido de Circonio (IV)";"Mono";"Di";"Mon脫xido de DiCirconio";"Mon贸xido de Dicirconio"
69;"Nb";"Niobio";41;5;5;"Metal";"Metales de transici髇";"S髄ido";"3,5";2;69;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Nb2O3";"脫xido Nioboso";"脫xido de Niobio (III)";"Di";"Tri";"Di脫xido de TriNiobio";"Di贸xido de Triniobio"
70;"Nb";"Niobio";41;5;5;"Metal";"Metales de transici髇";"S髄ido";"3,5";2;70;2;"5";"V";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Nb2O5";"脫xido Ni煤bico";"脫xido de Niobio (V)";"Di";"Penta";"Di脫xido de PentaNiobio";"Di贸xido de Pentaniobio"
71;"Mo";"Molibdeno";42;6;5;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,5,6";5;71;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mo1O1";"脫xido Hipomolibdoso";"脫xido de Molibdeno (II)";"Mono";"Mono";"Mon脫xido de MonoMolibdeno";"Mon贸xido de Monomolibdeno"
