"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrdenOnElement";"EachValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule"
44;"Ru";"Ruthenium";44;8;5;"Metal";"Transition Metals";"Solid";"2,3,4,6,8";5;77;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru1O1"
44;"Ru";"Ruthenium";44;8;5;"Metal";"Transition Metals";"Solid";"2,3,4,6,8";5;78;2;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru2O3"
44;"Ru";"Ruthenium";44;8;5;"Metal";"Transition Metals";"Solid";"2,3,4,6,8";5;79;3;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru1O2"
44;"Ru";"Ruthenium";44;8;5;"Metal";"Transition Metals";"Solid";"2,3,4,6,8";5;80;4;6;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru1O3"
44;"Ru";"Ruthenium";44;8;5;"Metal";"Transition Metals";"Solid";"2,3,4,6,8";5;81;5;8;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ru1O4"
45;"Rh";"Rhodium";45;9;5;"Metal";"Transition Metals";"Solid";"2,3,4";3;82;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Rh1O1"
45;"Rh";"Rhodium";45;9;5;"Metal";"Transition Metals";"Solid";"2,3,4";3;83;2;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Rh2O3"
45;"Rh";"Rhodium";45;9;5;"Metal";"Transition Metals";"Solid";"2,3,4";3;84;3;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Rh1O2"
46;"Pd";"Palladium";46;10;5;"Metal";"Transition Metals";"Solid";"2,4";2;85;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pd1O1"
46;"Pd";"Palladium";46;10;5;"Metal";"Transition Metals";"Solid";"2,4";2;86;2;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pd1O2"
47;"Ag";"Silver";47;11;5;"Metal";"Transition Metals";"Solid";"1";1;87;1;1;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ag2O1"
48;"Cd";"Cadmium";48;12;5;"Metal";"Transition Metals";"Solid";"2";1;88;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cd1O1"
49;"In";"Indian";49;13;5;"Metal";"Metals from Block p";"Solid";"3";1;89;1;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"In2O3"
50;"Sn";"Tin";50;14;5;"Metal";"Metals from Block p";"Solid";"2,4";2;90;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sn1O1"
50;"Sn";"Tin";50;14;5;"Metal";"Metals from Block p";"Solid";"2,4";2;91;2;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sn1O2"
51;"Sb";"Antimony";51;15;5;"Metalloid";"-";"Solid";"3,5";2;92;1;3;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sb2O3"
51;"Sb";"Antimony";51;15;5;"Metalloid";"-";"Solid";"3,5";2;93;2;5;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sb2O5"
52;"Te";"Tellurium";52;16;5;"Metalloid";"-";"Solid";"2,4,6";3;94;1;2;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Te1O1"
52;"Te";"Tellurium";52;16;5;"Metalloid";"-";"Solid";"2,4,6";3;95;2;4;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Te1O2"
52;"Te";"Tellurium";52;16;5;"Metalloid";"-";"Solid";"2,4,6";3;96;3;6;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Te1O3"
53;"I";"Iodine";53;17;5;"Non-metal";"Halogens";"Solid";"1,5,7";3;97;1;1;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;"I2O1"
53;"I";"Iodine";53;17;5;"Non-metal";"Halogens";"Solid";"1,5,7";3;98;2;5;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;"I2O5"
53;"I";"Iodine";53;17;5;"Non-metal";"Halogens";"Solid";"1,5,7";3;99;3;7;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;"I2O7"
54;"Xe";"Xenon";54;18;5;"Noble gas";"-";"Gas";"0";1;100;1;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----"
55;"Cs";"Cesium";55;1;6;"Metal";"Alkaline";"Liquid";"1";1;101;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"Cs2O1"
56;"Ba";"Barium";56;2;6;"Metal";"Alkaline earths";"Solid";"2";1;102;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ba1O1"
57;"La";"Lanthanum";57;3;6;"Metal";"Lanthanides";"Solid";"3";1;103;1;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"La2O3"
58;"Ce";"Cerium";58;3;6;"Metal";"Lanthanides";"Solid";"3,4";2;104;1;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ce2O3"
58;"Ce";"Cerium";58;3;6;"Metal";"Lanthanides";"Solid";"3,4";2;105;2;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ce1O2"
59;"Pr";"Praseodymium";59;3;6;"Metal";"Lanthanides";"Solid";"3,4";2;106;1;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pr2O3"
