Order;Symbol;Name;OxydeName_Part01_Classic;OxydeName_Part02_Classic;OxydeName_Part03_Classic;Name_Classic_Oxyde;AtomicNumber;Group;Period;Type;Subtype;State;Valence;AmountOfValences;OrderGeneralValences;OrderValenceOnElement;SelectedValence;RomanValence;OxydeName_Part01_IUPAC;Name_IUPAC_Oxyde
63;Br;Bromo;Óxido ;;Brómico;Óxido Brómico;35;17;4;No Metal;Halógenos;Líquido;1,5;2;63;2;5;V;Óxido de ;Óxido de Bromo (V)
64;Kr;Criptón;----;----;----;----;36;18;4;Gas Noble;-;Gas;0;1;64;1;0;----;----;----
65;Rb;Rubidio;Óxido ;;de Rubidio;Óxido de Rubidio;37;1;5;Metal;Alcalino;Sólido;1;1;65;1;1;I;Óxido de ;Óxido de Rubidio (I)
66;Sr;Estroncio;Óxido ;;de Estroncio;Óxido de Estroncio;38;2;5;Metal;Tierras alcalinas;Sólido;2;1;66;1;2;II;Óxido de ;Óxido de Estroncio (II)
67;Y;Yodo;Óxido ;;de Yodo;Óxido de Yodo;39;3;5;Metal;Metales de transición;Sólido;3;1;67;1;3;III;Óxido de ;Óxido de Yodo (III)
68;Zr;Circonio;Óxido ;;de Circonio;Óxido de Circonio;40;4;5;Metal;Metales de transición;Sólido;4;1;68;1;4;IV;Óxido de ;Óxido de Circonio (IV)
69;Nb;Niobio;Óxido ;;Nioboso;Óxido Nioboso;41;5;5;Metal;Metales de transición;Sólido;3,5;2;69;1;3;III;Óxido de ;Óxido de Niobio (III)
70;Nb;Niobio;Óxido ;;Niúbico;Óxido Niúbico;41;5;5;Metal;Metales de transición;Sólido;3,5;2;70;2;5;V;Óxido de ;Óxido de Niobio (V)
71;Mo;Molibdeno;Óxido ;Hipo;Molibdoso;Óxido HipoMolibdoso;42;6;5;Metal;Metales de transición;Sólido;2,3,4,5,6;5;71;1;2;II;Óxido de ;Óxido de Molibdeno (II)
72;Mo;Molibdeno;Óxido ;;Molibdoso;Óxido Molibdoso;42;6;5;Metal;Metales de transición;Sólido;2,3,4,5,6;5;72;2;3;III;Óxido de ;Óxido de Molibdeno (III)
73;Mo;Molibdeno;Óxido ;;Molibdénico;Óxido Molibdénico;42;6;5;Metal;Metales de transición;Sólido;2,3,4,5,6;5;73;3;4;IV;Óxido de ;Óxido de Molibdeno (IV)
74;Mo;Molibdeno;Óxido ;Per;Molibdénico;Óxido PerMolibdénico;42;6;5;Metal;Metales de transición;Sólido;2,3,4,5,6;5;74;4;5;V;Óxido de ;Óxido de Molibdeno (V)
75;Mo;Molibdeno;Óxido ;Super;Molibdénico;Óxido SuperMolibdénico;42;6;5;Metal;Metales de transición;Sólido;2,3,4,5,6;5;75;5;6;VI;Óxido de ;Óxido de Molibdeno (VI)
76;Tc;Tecnecio;Óxido ;;de Tecnecio;Óxido de Tecnecio;43;7;5;Metal;Metales de transición;Sólido;7;1;76;1;7;VII;Óxido de ;Óxido de Tecnecio (VII)
77;Ru;Rutenio;Óxido ;Hipo;Rutenoso;Óxido HipoRutenoso;44;8;5;Metal;Metales de transición;Sólido;2,3,4,6,8;5;77;1;2;II;Óxido de ;Óxido de Rutenio (II)
78;Ru;Rutenio;Óxido ;;Rutenoso;Óxido Rutenoso;44;8;5;Metal;Metales de transición;Sólido;2,3,4,6,8;5;78;2;3;III;Óxido de ;Óxido de Rutenio (III)
79;Ru;Rutenio;Óxido ;;Rutenoso;Óxido Rutenoso;44;8;5;Metal;Metales de transición;Sólido;2,3,4,6,8;5;79;3;4;IV;Óxido de ;Óxido de Rutenio (IV)
80;Ru;Rutenio;Óxido ;Per;Rutenoso;Óxido PerRutenoso;44;8;5;Metal;Metales de transición;Sólido;2,3,4,6,8;5;80;4;6;VI;Óxido de ;Óxido de Rutenio (VI)
81;Ru;Rutenio;Óxido ;Super;Rutenoso;Óxido SuperRutenoso;44;8;5;Metal;Metales de transición;Sólido;2,3,4,6,8;5;81;5;8;VIII;Óxido de ;Óxido de Rutenio (VIII)
82;Rh;Rodio;Óxido ;Hipo;Rodoso;Óxido HipoRodoso;45;9;5;Metal;Metales de transición;Sólido;2,3,4;3;82;1;2;II;Óxido de ;Óxido de Rodio (II)
83;Rh;Rodio;Óxido ;;Rodoso;Óxido Rodoso;45;9;5;Metal;Metales de transición;Sólido;2,3,4;3;83;2;3;III;Óxido de ;Óxido de Rodio (III)
84;Rh;Rodio;Óxido ;;Ródico;Óxido Ródico;45;9;5;Metal;Metales de transición;Sólido;2,3,4;3;84;3;4;IV;Óxido de ;Óxido de Rodio (IV)
85;Pd;Paladio;Óxido ;;Paladoso;Óxido Paladoso;46;10;5;Metal;Metales de transición;Sólido;2,4;2;85;1;2;II;Óxido de ;Óxido de Paladio (II)
86;Pd;Paladio;Óxido ;;Paládico;Óxido Paládico;46;10;5;Metal;Metales de transición;Sólido;2,4;2;86;2;4;IV;Óxido de ;Óxido de Paladio (IV)
87;Ag;Plata;Óxido ;;de Plata;Óxido de Plata;47;11;5;Metal;Metales de transición;Sólido;1;1;87;1;1;I;Óxido de ;Óxido de Plata (I)
88;Cd;Cadmio;Óxido ;;de Cadmio;Óxido de Cadmio;48;12;5;Metal;Metales de transición;Sólido;2;1;88;1;2;II;Óxido de ;Óxido de Cadmio (II)
89;In;Indio;Óxido ;;de Indio;Óxido de Indio;49;13;5;Metal;Metales del Bloque p;Sólido;3;1;89;1;3;III;Óxido de ;Óxido de Indio (III)
90;Sn;Estaño;Óxido ;;Estañoso;Óxido Estañoso;50;14;5;Metal;Metales del Bloque p;Sólido;2,4;2;90;1;2;II;Óxido de ;Óxido de Estaño (II)
91;Sn;Estaño;Óxido ;;Estáñico;Óxido Estáñico;50;14;5;Metal;Metales del Bloque p;Sólido;2,4;2;91;2;4;IV;Óxido de ;Óxido de Estaño (IV)
92;Sb;Antimonio;Óxido ;;Antimonoso;Óxido Antimonoso;51;15;5;Metaloide;-;Sólido;3,5;2;92;1;3;III;Óxido de ;Óxido de Antimonio (III)
93;Sb;Antimonio;Óxido ;;Antimónico;Óxido Antimónico;51;15;5;Metaloide;-;Sólido;3,5;2;93;2;5;V;Óxido de ;Óxido de Antimonio (V)
94;Te;Telurio;Óxido ;Hipo;Teluroso;Óxido HipoTeluroso;52;16;5;Metaloide;-;Sólido;2,4,6;3;94;1;2;II;Óxido de ;Óxido de Telurio (II)
95;Te;Telurio;Óxido ;;Teluroso;Óxido Teluroso;52;16;5;Metaloide;-;Sólido;2,4,6;3;95;2;4;IV;Óxido de ;Óxido de Telurio (IV)
96;Te;Telurio;Óxido ;;Telúrico;Óxido Telúrico;52;16;5;Metaloide;-;Sólido;2,4,6;3;96;3;6;VI;Óxido de ;Óxido de Telurio (VI)
97;I;Yodo;Óxido ;Hipo;Yodoso;Óxido HipoYodoso;53;17;5;No Metal;Halógenos;Sólido;1,5,7;3;97;1;1;I;Óxido de ;Óxido de Yodo (I)
98;I;Yodo;Óxido ;;Yodoso;Óxido Yodoso;53;17;5;No Metal;Halógenos;Sólido;1,5,7;3;98;2;5;V;Óxido de ;Óxido de Yodo (V)
99;I;Yodo;Óxido ;;Yódico;Óxido Yódico;53;17;5;No Metal;Halógenos;Sólido;1,5,7;3;99;3;7;VII;Óxido de ;Óxido de Yodo (VII)
100;Xe;Xenón;----;----;----;----;54;18;5;Gas Noble;-;Gas;0;1;100;1;0;----;----;----
101;Cs;Cesio;Óxido ;;de Cesio;Óxido de Cesio;55;1;6;Metal;Alcalino;Líquido;1;1;101;1;1;I;Óxido de ;Óxido de Cesio (I)
102;Ba;Bario;Óxido ;;de Bario;Óxido de Bario;56;2;6;Metal;Tierras alcalinas;Sólido;2;1;102;1;2;II;Óxido de ;Óxido de Bario (II)
103;La;Lantano;Óxido ;;de Lantano;Óxido de Lantano;57;3;6;Metal;Lantánidos;Sólido;3;1;103;1;3;III;Óxido de ;Óxido de Lantano (III)
104;Ce;Cerio;Óxido ;;Ceroso;Óxido Ceroso;58;3;6;Metal;Lantánidos;Sólido;3,4;2;104;1;3;III;Óxido de ;Óxido de Cerio (III)
105;Ce;Cerio;Óxido ;;Cérico;Óxido Cérico;58;3;6;Metal;Lantánidos;Sólido;3,4;2;105;2;4;IV;Óxido de ;Óxido de Cerio (IV)
106;Pr;Praseodimio;Óxido ;;Praseodimoso;Óxido Praseodimoso;59;3;6;Metal;Lantánidos;Sólido;3,4;2;106;1;3;III;Óxido de ;Óxido de Praseodimio (III)
